host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
t,Fairgrounds,Entire guesthouse,Entire home/apt,4,1 bath,1.0,2.0,100.0,30,1125,0,16,46,286,115,4.98,4.91,4.97,5.0,4.98,4.98,4.93,f
f,Treme - Lafitte,Entire residential home,Entire home/apt,4,2.5 baths,2.0,3.0,196.0,2,1125,4,22,49,98,323,4.72,4.68,4.82,4.85,4.82,4.7,4.68,f
f,Holy Cross,Entire residential home,Entire home/apt,8,1 bath,2.0,7.0,299.0,3,1125,25,55,85,85,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,f
t,Lower Garden District,Room in bed and breakfast,Hotel room,2,1 private bath,1.0,1.0,145.0,2,360,4,16,32,32,192,4.79,4.82,4.81,4.88,4.9,4.77,4.76,f
t,Lower Garden District,Room in bed and breakfast,Hotel room,2,1 private bath,1.0,1.0,120.0,2,360,8,20,36,36,75,4.83,4.84,4.89,4.93,4.92,4.84,4.87,f
t,Lower Garden District,Entire residential home,Entire home/apt,8,1.5 baths,3.0,5.0,450.0,3,365,19,49,79,209,102,4.94,4.94,4.98,4.99,4.98,4.83,4.83,f
f,Treme - Lafitte,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,149.0,30,365,28,58,88,326,246,4.38,4.5,4.27,4.82,4.79,4.54,4.43,f
f,Mid-City,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,150.0,30,30,30,60,90,365,64,4.44,4.7,4.37,4.88,4.81,4.76,4.55,f
t,Marigny,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,138.0,4,90,6,14,28,87,302,4.87,4.92,4.79,4.97,4.92,4.95,4.84,t
f,Treme - Lafitte,Entire residential home,Entire home/apt,2,1 bath,1.0,1.0,106.0,30,1125,0,0,0,0,203,4.72,4.77,4.86,4.81,4.9,4.65,4.74,t
f,Fillmore,Entire residential home,Entire home/apt,8,2.5 baths,4.0,5.0,429.0,2,1125,0,0,0,134,71,4.73,4.77,4.89,4.66,4.55,4.72,4.69,f
t,Bayou St. John,Entire residential home,Entire home/apt,2,1 bath,1.0,1.0,97.0,2,32,10,14,34,40,290,4.91,4.92,4.94,4.95,4.96,4.81,4.86,f
t,Leonidas,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,105.0,30,1125,5,35,65,312,86,4.85,4.94,4.92,4.96,4.95,4.63,4.9,f
t,Marigny,Entire condominium (condo),Entire home/apt,2,1 bath,1.0,1.0,175.0,2,1125,1,1,1,1,210,4.92,4.96,4.92,4.95,4.98,4.99,4.86,f
f,Lower Garden District,Private room in residential home,Private room,2,1 private bath,1.0,1.0,109.0,30,90,30,60,90,365,205,4.92,4.94,4.89,4.94,4.91,4.89,4.88,f
f,Seventh Ward,Entire rental unit,Entire home/apt,2,1.5 baths,1.0,1.0,138.0,2,14,5,5,5,5,81,4.76,4.89,4.84,4.81,4.81,4.94,4.86,f
t,Bywater,Entire rental unit,Entire home/apt,2,2 baths,1.0,1.0,71.0,30,1125,0,3,3,192,72,4.96,4.92,4.96,4.99,4.97,4.79,4.88,f
f,Lower Garden District,Private room in residential home,Private room,2,1 private bath,1.0,1.0,125.0,30,90,30,60,90,365,154,4.89,4.94,4.87,4.95,4.95,4.93,4.88,f
t,Bywater,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,117.0,2,29,10,27,57,312,249,4.93,4.94,4.87,4.98,4.96,4.92,4.83,f
f,Treme - Lafitte,Private room in residential home,Private room,1,1.5 baths,1.0,1.0,50.0,30,1125,0,0,0,0,199,4.75,4.82,4.59,4.96,4.92,4.37,4.78,f
f,City Park,Entire rental unit,Entire home/apt,6,1 bath,3.0,3.0,300.0,2,1125,27,57,85,346,82,4.83,4.86,4.86,4.97,4.95,4.86,4.66,f
